Part description,Parameters,UoM,Quantity,Notes,Link 1,Link 2,Link 3,,,,,
Autokit relay 3d printed enclosure,,pcs,1,Retrieve 3d files from this repo ,,,,,,,,
C14 socket (Entry Module C14),,pcs,1,,,,,,,,,
Entry Module C13,,pcs,1,,,,,,,,,
USB Relay,,pcs,1,,https://www.ebay.co.uk/itm/253297488368?chn=ps&norover=1&mkevt=1&mkrid=710-134428-41853-0&mkcid=2&mkscid=101&itemid=253297488368&targetid=1404115579173&device=c&mktype=pla&googleloc=1007097&poi=&campaignid=17218284410&mkgroupid=142217514411&rlsatarget=pla-1404115579173&abcId=9300867&merchantid=118942247&gclid=CjwKCAiAy_CcBhBeEiwAcoMRHKNtlJV5iCdG8klsuv5LBqCtRluPP0gnTxZd8KsEZnyMqGgRY5oI2RoCbU4QAvD_BwE,https://www.aliexpress.com/item/1005004969980490.html?spm=a2g0o.productlist.main.3.2703123aqcROea&algo_pvid=cc20cbaf-906e-4ab8-803c-5a69db3508db&aem_p4p_detail=20221216014351596032854071610005543967&algo_exp_id=cc20cbaf-906e-4ab8-803c-5a69db3508db-1&pdp_ext_f=%7B%22sku_id%22%3A%2212000031193895512%22%7D&pdp_npi=2%40dis%21GBP%213.81%213.61%21%21%21%21%21%402100b18f16711838310556338d0714%2112000031193895512%21sea&curPageLogUid=LC3auNz8cS8B&ad_pvid=20221216014351596032854071610005543967_2&ad_pvid=20221216014351596032854071610005543967_2,,,,,,
Quick terminals vinyl blue 14 AWG,,pcs,6,,,,,,,,,
Blade terminal,,pcs,4,,https://uk.rs-online.com/web/p/blade-terminals/6139722,,,,,,,
AC cables Yellow,,cm,0.7,,,,,,,,,
AC cables Brown,,cm,1.2,cut into 1x 0.5cm (wire cutter prog 4) and 1x 0.7cm wire cutter prog 5),,,,,,,,
AC cables Blue,,cm,1.2,cut into 1x 0.5cm (wire cutter prog 4) and 1x 0.7cm wire cutter prog 5),,,,,,,,
M2.5 X 8mm Countersunk Screws,,pcs,4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,https://www.ebay.co.uk/itm/253297488368?chn=ps&norover=1&mkevt=1&mkrid=710-134428-41853-0&mkcid=2&mkscid=101&itemid=253297488368&targetid=1404115579173&device=c&mktype=pla&googleloc=1007097&poi=&campaignid=17218284410&mkgroupid=142217514411&rlsatarget=pla-1404115579173&abcId=9300867&merchantid=118942247&gclid=CjwKCAiAy_CcBhBeEiwAcoMRHKNtlJV5iCdG8klsuv5LBqCtRluPP0gnTxZd8KsEZnyMqGgRY5oI2RoCbU4QAvD_BwE,https://www.aliexpress.com/item/1005004969980490.html?spm=a2g0o.productlist.main.3.2703123aqcROea&algo_pvid=cc20cbaf-906e-4ab8-803c-5a69db3508db&aem_p4p_detail=20221216014351596032854071610005543967&algo_exp_id=cc20cbaf-906e-4ab8-803c-5a69db3508db-1&pdp_ext_f=%7B%22sku_id%22%3A%2212000031193895512%22%7D&pdp_npi=2%40dis%21GBP%213.81%213.61%21%21%21%21%21%402100b18f16711838310556338d0714%2112000031193895512%21sea&curPageLogUid=LC3auNz8cS8B&ad_pvid=20221216014351596032854071610005543967_2&ad_pvid=20221216014351596032854071610005543967_2